iter	Passed	Remaining
664	9270	4670
665	9284	4656
666	9299	4642
667	9314	4629
668	9327	4614
669	9341	4601
670	9355	4587
671	9369	4573
672	9384	4559
673	9398	4545
674	9411	4531
675	9428	4519
676	9442	4505
677	9455	4490
678	9468	4476
679	9484	4463
680	9497	4448
681	9510	4434
682	9524	4420
683	9538	4406
684	9552	4392
685	9566	4378
686	9578	4364
687	9592	4350
688	9605	4335
689	9618	4321
690	9632	4307
691	9645	4293
692	9660	4279
693	9674	4265
694	9688	4251
695	9702	4237
696	9718	4224
697	9732	4210
698	9748	4197
699	9761	4183
700	9777	4170
701	9790	4156
702	9805	4142
703	9818	4128
704	9831	4114
705	9845	4099
706	9859	4085
707	9879	4074
708	9893	4060
709	9907	4046
710	9922	4033
711	9937	4019
712	9951	4005
713	9966	3991
714	9981	3978
715	9995	3964
716	10008	3950
717	10021	3936
718	10035	3922
719	10049	3908
720	10063	3894
721	10076	3879
722	10090	3865
723	10106	3852
724	10120	3838
725	10134	3824
726	10147	3810
727	10162	3796
728	10178	3783
729	10192	3769
730	10207	3756
731	10220	3741
732	10245	3732
733	10260	3718
734	10275	3704
735	10287	3690
736	10302	3676
737	10314	3661
738	10325	3646
739	10338	3632
740	10350	3617
741	10364	3603
742	10377	3589
743	10391	3575
744	10422	3567
745	10437	3553
746	10450	3539
747	10465	3525
748	10479	3511
749	10491	3497
750	10504	3482
751	10518	3468
752	10533	3455
753	10548	3441
754	10560	3426
755	10576	3413
756	10589	3399
757	10604	3385
758	10618	3371
759	10633	3357
760	10648	3344
761	10661	3330
762	10674	3315
763	10689	3301
764	10701	3287
765	10716	3273
766	10729	3259
767	10744	3245
768	10758	3231
769	10772	3217
770	10786	3203
771	10797	3188
772	10812	3175
773	10825	3160
774	10840	3147
775	10854	3133
776	10868	3119
777	10882	3105
778	10897	3091
779	10911	3077
780	10924	3063
781	10935	3048
782	10949	3034
783	10963	3020
784	10977	3006
785	10990	2992
786	11003	2978
787	11017	2964
788	11032	2950
789	11045	2936
790	11060	2922
791	11074	2908
792	11088	2894
793	11104	2880
794	11118	2867
795	11134	2853
796	11147	2839
797	11160	2825
798	11174	2811
799	11189	2797
800	11203	2783
801	11226	2771
802	11240	2757
803	11254	2743
804	11268	2729
805	11281	2715
806	11293	2700
807	11308	2687
808	11322	2673
809	11336	2659
810	11350	2645
811	11364	2631
812	11381	2617
813	11394	2603
814	11407	2589
815	11422	2575
816	11436	2561
817	11450	2547
818	11464	2533
819	11478	2519
820	11492	2505
821	11506	2491
822	11518	2477
823	11533	2463
824	11546	2449
825	11561	2435
826	11576	2421
827	11589	2407
828	11603	2393
829	11618	2379
830	11632	2365
831	11646	2351
832	11659	2337
833	11672	2323
834	11686	2309
835	11701	2295
836	11714	2281
837	11728	2267
838	11743	2253
839	11757	2239
840	11771	2225
841	11785	2211
842	11800	2197
843	11815	2183
844	11828	2169
845	11841	2155
846	11854	2141
847	11868	2127
848	11882	2113
849	11892	2098
850	11905	2084
851	11919	2070
852	11934	2056
853	11951	2043
854	11965	2029
855	11981	2015
856	11994	2001
857	12007	1987
858	12021	1973
859	12034	1959
860	12048	1945
861	12062	1931
862	12075	1916
863	12089	1902
864	12103	1888
865	12117	1874
866	12131	1860
867	12145	1847
868	12159	1833
869	12174	1819
870	12190	1805
871	12215	1793
872	12231	1779
873	12245	1765
874	12255	1750
875	12278	1738
876	12293	1724
877	12309	1710
878	12323	1696
879	12338	1682
880	12354	1668
881	12370	1655
882	12383	1640
883	12394	1626
884	12409	1612
885	12423	1598
886	12437	1584
887	12452	1570
888	12463	1556
889	12476	1541
890	12490	1528
891	12505	1514
892	12518	1499
893	12532	1485
894	12545	1471
895	12559	1457
896	12574	1443
897	12586	1429
898	12600	1415
899	12615	1401
900	12629	1387
901	12643	1373
902	12657	1359
903	12672	1345
904	12686	1331
905	12701	1317
906	12716	1303
907	12731	1289
908	12745	1275
909	12759	1261
910	12773	1247
911	12786	1233
912	12800	1219
913	12814	1205
914	12830	1191
915	12844	1177
916	12858	1163
917	12873	1149
918	12887	1135
919	12902	1121
920	12916	1107
921	12930	1093
922	12943	1079
923	12956	1065
924	12971	1051
925	12985	1037
926	12999	1023
927	13013	1009
928	13027	995
929	13041	981
930	13056	967
931	13070	953
932	13086	939
933	13100	925
934	13115	911
935	13130	897
936	13144	883
937	13163	870
938	13177	856
939	13192	842
940	13218	828
941	13232	814
942	13243	800
943	13259	786
944	13273	772
945	13289	758
946	13304	744
947	13320	730
948	13337	716
949	13352	702
950	13367	688
951	13379	674
952	13394	660
953	13410	646
954	13424	632
955	13439	618
956	13453	604
957	13467	590
958	13481	576
959	13497	562
960	13511	548
961	13526	534
962	13540	520
963	13556	506
964	13570	492
965	13584	478
966	13597	464
967	13611	449
968	13625	435
969	13640	421
970	13655	407
971	13670	393
972	13685	379
973	13698	365
974	13712	351
975	13727	337
976	13742	323
977	13757	309
978	13771	295
979	13785	281
980	13801	267
981	13814	253
982	13828	239
983	13843	225
984	13858	211
985	13872	196
986	13887	182
987	13901	168
988	13915	154
989	13927	140
990	13940	126
991	13956	112
992	13969	98
993	13983	84
994	13998	70
995	14013	56
996	14028	42
997	14045	28
998	14060	14
999	14074	0
